251,0.21984,0.81674
252,0.73775,0.68986
253,0.03454,0.12594
254,0.43157,0.12336
255,0.46224,0.8712
256,0.07721,0.29077
257,0.82369,0.8021
258,0.32787,0.13758
259,0.16072,0.26692
260,0.35466,0.02821
261,0.55722,0.48792
262,0.66803,0.25485
263,0.57446,0.42213
264,0.43949,0.3953
265,0.96682,0.75761
266,0.62874,0.17059
267,0.72273,0.71573
268,0.3973,0.26233
269,0.90957,0.36745
270,0.38561,0.10852
271,0.46405,0.37223
272,0.62514,0.35545
273,0.05128,0.14527
274,0.50798,0.51192
275,0.32813,0.17763
276,0.26603,0.35846
277,0.90387,0.49056
278,0.67369,0.87163
279,0.07484,0.13738
280,0.0584,0.89853
281,0.53872,0.61965
282,0.39425,0.45175
283,0.28778,0.30689
284,0.51787,0.48241
285,0.52698,0.42631
286,0.12909,0.80744
287,0.26981,0.17758
288,0.36162,0.0588
289,0.254,0.92421
290,0.51976,0.28333
291,0.28445,0.39368
292,0.72906,0.08868
293,0.75972,0.66491
294,0.83246,0.6894
295,0.98324,0.52978
296,0.8538,0.8991
297,0.23717,0.14479
298,0.37114,0.88884
299,0.68549,0.03071
300,0.71128,0.51507
301,0.7062,0.81157
302,0.25362,0.37923
303,0.7737,0.16322
304,0.85377,0.88693
305,0.32428,0.74889
306,0.61969,0.46474
307,0.73422,0.99245
308,0.90282,0.91334
309,0.18047,0.10796
310,0.84506,0.14744
311,0.73538,0.46853
312,0.79681,0.742
313,0.759,0.59679
314,0.94444,0.27737
315,0.73852,0.68408
316,0.59741,0.23495
317,0.62445,0.2939
318,0.96142,0.2994
319,0.37413,0.18791
320,0.06249,0.92795
321,0.02366,0.41143
322,0.33959,0.17213
323,0.03806,0.07673
324,0.33331,0.52506
325,0.61752,0.88469
326,0.35294,0.56589
327,0.56638,0.25302
328,0.03308,0.99849
329,0.72118,0.03639
330,0.31511,0.44962
331,0.36884,0.50556
332,0.86415,0.05535
333,0.59677,0.11181
334,0.29752,0.70002
335,0.20679,0.0636
336,0.23555,0.54392
337,0.05057,0.25869
338,0.79246,0.70906
339,0.83259,0.53759
340,0.3332,0.33394
341,0.13412,0.68362
342,0.42204,0.44764
343,0.49563,0.57297
344,0.81673,0.67408
345,0.17534,0.65734
346,0.87063,0.42926
347,0.1077,0.84629
348,0.59803,0.17803
349,0.17521,0.36216
350,0.09883,0.18556
351,0.66503,0.64304
352,0.62751,0.93386
353,0.06237,0.94167
354,0.06284,0.23535
355,0.30914,0.60483
356,0.77174,0.62994
357,0.09535,0.97597
358,0.48455,0.77208
359,0.49038,0.50195
360,0.70099,0.85187
361,0.24675,0.78949
362,0.5473,0.58043
363,0.04718,0.66089
364,0.0801,0.89204
365,0.03791,0.33111
366,0.0704,0.41936
367,0.83088,0.18308
368,0.77603,0.27014
369,0.58406,0.82647
370,0.17915,0.76884
371,0.64296,0.37233
372,0.27865,0.97281
373,0.03978,0.75999
374,0.75491,0.41572
375,0.05286,0.42999
