"(0.2987414235570055, 0.894195517278857)","[(0.2987414235570055, 0.894195517278857), (0.2777402521380907, 0.8654316893411226)]",1
"(0.5722644821008177, 0.38917083141887376)","[(0.5722644821008177, 0.38917083141887376), (0.5716704221113547, 0.4141774969565204)]",1
"(0.6191739528047997, 0.18140506550729762)","[(0.6191739528047997, 0.18140506550729762), (0.6531422689514945, 0.1845646222631948)]",1
"(0.6914263951966696, 0.5158927445516127)","[(0.6914263951966696, 0.5158927445516127), (0.7102994676754639, 0.5050352192359767)]",1
"(0.4257461417215578, 0.9720645657311554)","[(0.4257461417215578, 0.9720645657311554), (0.4365434250003565, 0.9809080814986845)]",1
"(0.48419486133823264, 0.9644857485850578)","[(0.48419486133823264, 0.9644857485850578), (0.513651607799473, 0.9569350486092809)]",1
"(0.7882512607175657, 0.7582083875123767)","[(0.7882512607175657, 0.7582083875123767), (0.83241996786252, 0.7617310254110929)]",1
"(0.6007825095311123, 0.8627839651047611)","[(0.6007825095311123, 0.8627839651047611), (0.6105528623129551, 0.8115816181093405)]",1
"(0.8624037722696751, 0.3512597872128175)","[(0.8624037722696751, 0.3512597872128175), (0.8613065853216066, 0.34385791838883406)]",1
"(0.6437218555900928, 0.1306729498407042)","[(0.6437218555900928, 0.1306729498407042), (0.6822563362511694, 0.12491889208873375)]",1
"(0.83241996786252, 0.7617310254110929)","[(0.83241996786252, 0.7617310254110929), (0.7882512607175657, 0.7582083875123767)]",1
"(0.3080927895677571, 0.8084606136001689)","[(0.3080927895677571, 0.8084606136001689), (0.31885440114206587, 0.752659881348405)]",1
"(0.15857821793225235, 0.7756528058361043)","[(0.15857821793225235, 0.7756528058361043), (0.2006828262461514, 0.7720411225673259)]",1
"(0.4131387323358978, 0.17354233445407652)","[(0.4131387323358978, 0.17354233445407652), (0.4311760432456181, 0.1466332265434489)]",1
"(0.9206509151815597, 0.15590037730539885)","[(0.9206509151815597, 0.15590037730539885), (0.9240445577460437, 0.18968415295945573)]",1
"(0.35626616224500307, 0.4058177461146242)","[(0.35626616224500307, 0.4058177461146242), (0.3972231214722247, 0.4151201680068586)]",1
"(0.6822563362511694, 0.12491889208873375)","[(0.6822563362511694, 0.12491889208873375), (0.6437218555900928, 0.1306729498407042)]",1
"(0.5568238570667958, 0.6845327343440492)","[(0.5568238570667958, 0.6845327343440492), (0.5886141880406813, 0.6473442165598717)]",1
"(0.9271582581869575, 0.09036964956566873)","[(0.9271582581869575, 0.09036964956566873), (0.9325165220069914, 0.09566229869202536)]",1
"(0.8849766170952956, 0.9598660026678032)","[(0.8849766170952956, 0.9598660026678032), (0.8814159965636127, 0.9898589319710187)]",1
"(0.4485501839894567, 0.11123373244772339)","[(0.4485501839894567, 0.11123373244772339), (0.4311760432456181, 0.1466332265434489)]",1
"(0.17520716858071494, 0.4694055078310728)","[(0.17520716858071494, 0.4694055078310728), (0.1776495866689325, 0.4716340559637733)]",1
"(0.3977768915588856, 0.24325860284652023)","[(0.3977768915588856, 0.24325860284652023), (0.3556625176769864, 0.1926610501464796)]",1
"(0.059296647357782395, 0.957011235932115)","[(0.059296647357782395, 0.957011235932115), (0.04279957116632149, 0.9325824074388518)]",1
"(0.8929927805066323, 0.6938627391404746)","[(0.8929927805066323, 0.6938627391404746), (0.8530305380107934, 0.6825947503094826)]",1
"(0.390073088768361, 0.36935629363771394)","[(0.390073088768361, 0.36935629363771394), (0.40576056585164355, 0.3952528398038492)]",1
"(0.8248806743232616, 0.5286084747740958)","[(0.8248806743232616, 0.5286084747740958), (0.8165742533605499, 0.5647400010333883)]",1
"(0.009348064103235965, 0.308961403230661)","[(0.009348064103235965, 0.308961403230661), (0.04950445885509869, 0.30032066895734433)]",1
"(0.4728691459502008, 0.5889746126305212)","[(0.4728691459502008, 0.5889746126305212), (0.43549287326666175, 0.5603200115365032)]",1
"(0.31582816992744966, 0.2696472279329213)","[(0.31582816992744966, 0.2696472279329213), (0.27242481632368165, 0.30072830693772024)]",1
"(0.6662943371154688, 0.2769480045131214)","[(0.6662943371154688, 0.2769480045131214), (0.7027469046200212, 0.26260366337965735)]",1
"(0.5189270817254716, 0.03486630824235826)","[(0.5189270817254716, 0.03486630824235826), (0.5174495600118004, 0.08951822835112577)]",1
"(0.018113619979598372, 0.1924194160077236)","[(0.018113619979598372, 0.1924194160077236), (0.01593673603328627, 0.12704176457980976)]",1
"(0.7947264353863438, 0.25742708870657083)","[(0.7947264353863438, 0.25742708870657083), (0.8001057451488633, 0.2381151398340552)]",1
"(0.6692347919678594, 0.1720487984837924)","[(0.6692347919678594, 0.1720487984837924), (0.6531422689514945, 0.1845646222631948)]",1
"(0.23039650810447942, 0.7363509286516021)","[(0.23039650810447942, 0.7363509286516021), (0.22589755309553694, 0.7273195207954416)]",1
"(0.04279957116632149, 0.9325824074388518)","[(0.04279957116632149, 0.9325824074388518), (0.059296647357782395, 0.957011235932115)]",1
"(0.7023139530567473, 0.46329731057064627)","[(0.7023139530567473, 0.46329731057064627), (0.6693146902996281, 0.4802787260667456)]",1
"(0.7102994676754639, 0.5050352192359767)","[(0.7102994676754639, 0.5050352192359767), (0.6914263951966696, 0.5158927445516127)]",1
"(0.4311760432456181, 0.1466332265434489)","[(0.4311760432456181, 0.1466332265434489), (0.4131387323358978, 0.17354233445407652)]",1
"(0.27199318721403387, 0.3547502501592622)","[(0.27199318721403387, 0.3547502501592622), (0.27795963136130974, 0.3994575665590504)]",1
"(0.6854495394377583, 0.014218091362358187)","[(0.6854495394377583, 0.014218091362358187), (0.7643826465436249, 0.022132474156534077)]",1
"(0.8125637104894086, 0.8137710728573352)","[(0.8125637104894086, 0.8137710728573352), (0.83241996786252, 0.7617310254110929)]",1
"(0.5115924117643361, 0.2544152122091694)","[(0.5115924117643361, 0.2544152122091694), (0.5150135491191237, 0.23213799390998813)]",1
"(0.3353682263873248, 0.70335754490928)","[(0.3353682263873248, 0.70335754490928), (0.3229044935716441, 0.7089643823383678)]",1
"(0.49389452330885697, 0.7510188518799068)","[(0.49389452330885697, 0.7510188518799068), (0.42868309990526754, 0.8061701937384905)]",1
"(0.8692399074508563, 0.5636717187441629)","[(0.8692399074508563, 0.5636717187441629), (0.9067969476328905, 0.5577426623006764)]",1
"(0.9739799412763863, 0.9191700559299779)","[(0.9739799412763863, 0.9191700559299779), (0.9097318983683566, 0.9285640974353169)]",1
"(0.2195201449077271, 0.7523582481484701)","[(0.2195201449077271, 0.7523582481484701), (0.23039650810447942, 0.7363509286516021)]",1
"(0.053412992555830874, 0.570034007369709)","[(0.053412992555830874, 0.570034007369709), (0.06521014141034376, 0.5441493391873176)]",1
"(0.22420405812973476, 0.675350818797808)","[(0.22420405812973476, 0.675350818797808), (0.2364093110625365, 0.6485227889686914)]",1
"(0.31588705763056646, 0.3414309229751584)","[(0.31588705763056646, 0.3414309229751584), (0.27199318721403387, 0.3547502501592622)]",1
"(0.5870585790737592, 0.13166982172989894)","[(0.5870585790737592, 0.13166982172989894), (0.604363150971052, 0.13826136824694812)]",1
